case_id,country,age,sex,agreeable_score,extraversion_score,openness_score,conscientiousness_score,neuroticism_score
123209,Australia,21,1,0.273333333333333,0.43,0.7,0.366666666666667,0.823333333333333
163019,Australia,18,1,0.293333333333333,0.73,0.68,0.663333333333333,0.793333333333333
74391,Australia,24,2,0.306666666666667,0.466666666666667,0.623333333333333,0.746666666666667,0.423333333333333
306699,Australia,18,1,0.306666666666667,0.35,0.706666666666667,0.543333333333333,0.72
108041,Australia,35,2,0.313333333333333,0.6,0.686666666666667,0.82,0.356666666666667
90800,Australia,19,1,0.316666666666667,0.8,0.663333333333333,0.556666666666667,0.476666666666667
125136,Australia,18,1,0.316666666666667,0.566666666666667,0.73,0.59,0.49
95623,Australia,20,1,0.32,0.62,0.683333333333333,0.4,0.56
55468,Australia,12,1,0.326666666666667,0.85,0.753333333333333,0.683333333333333,0.376666666666667
106561,Australia,17,2,0.33,0.573333333333333,0.46,0.596666666666667,0.536666666666667
123962,Australia,42,1,0.333333333333333,0.893333333333333,0.906666666666667,0.623333333333333,0.386666666666667
179381,Australia,14,2,0.336666666666667,0.87,0.66,0.516666666666667,0.473333333333333
324056,Australia,38,1,0.34,0.53,0.696666666666667,0.7,0.723333333333333
25612,Australia,24,2,0.35,0.53,0.666666666666667,0.7,0.47
285451,Australia,18,1,0.35,0.706666666666667,0.636666666666667,0.666666666666667,0.553333333333333
41897,Australia,25,1,0.353333333333333,0.6,0.776666666666667,0.536666666666667,0.553333333333333
40711,Australia,19,1,0.356666666666667,0.54,0.81,0.696666666666667,0.443333333333333
56612,Australia,18,1,0.356666666666667,0.75,0.773333333333333,0.643333333333333,0.666666666666667
80330,Australia,20,1,0.36,0.683333333333333,0.533333333333333,0.303333333333333,0.893333333333333
16856,Australia,28,1,0.366666666666667,0.696666666666667,0.82,0.563333333333333,0.583333333333333
