case_id,country,age,sex,agreeable_score,extraversion_score,openness_score,conscientiousness_score,neuroticism_score
317873,UK,24,1,0.22,0.466666666666667,0.356666666666667,0.636666666666667,0.393333333333333
76787,UK,16,1,0.23,0.653333333333333,0.763333333333333,0.613333333333333,0.4
30252,UK,16,2,0.253333333333333,0.693333333333333,0.94,0.48,0.776666666666667
163775,UK,17,1,0.263333333333333,0.57,0.596666666666667,0.54,0.73
229702,UK,16,1,0.27,0.45,0.406666666666667,0.786666666666667,0.736666666666667
175634,UK,48,1,0.273333333333333,0.566666666666667,0.486666666666667,0.906666666666667,0.32
85754,UK,16,1,0.29,0.65,0.573333333333333,0.766666666666667,0.473333333333333
244106,UK,37,1,0.29,0.783333333333333,0.566666666666667,0.503333333333333,0.523333333333333
125416,UK,13,2,0.296666666666667,0.66,0.9,0.616666666666667,0.55
16578,UK,16,1,0.3,0.85,0.576666666666667,0.853333333333333,0.44
314242,UK,53,1,0.3,0.586666666666667,0.853333333333333,0.666666666666667,0.516666666666667
34400,UK,16,1,0.303333333333333,0.593333333333333,0.743333333333333,0.5,0.583333333333333
113750,UK,18,1,0.303333333333333,0.85,0.813333333333333,0.636666666666667,0.443333333333333
113761,UK,18,1,0.303333333333333,0.72,0.47,0.446666666666667,0.36
187326,UK,17,1,0.303333333333333,0.576666666666667,0.403333333333333,0.836666666666667,0.48
70848,UK,29,1,0.306666666666667,0.293333333333333,0.36,0.213333333333333,0.96
148674,UK,13,1,0.306666666666667,0.686666666666667,0.58,0.543333333333333,0.566666666666667
202824,UK,14,1,0.306666666666667,0.69,0.79,0.543333333333333,0.726666666666667
284053,UK,23,1,0.31,0.58,0.736666666666667,0.526666666666667,0.626666666666667
38063,UK,19,1,0.313333333333333,0.813333333333333,0.856666666666667,0.446666666666667,0.496666666666667
