case_id,country,age,sex,agreeable_score,extraversion_score,openness_score,conscientiousness_score,neuroticism_score
57817,USA,38,1,0.2,0.493333333333333,0.72,0.746666666666667,0.746666666666667
191779,USA,20,1,0.223333333333333,0.733333333333333,0.576666666666667,0.793333333333333,0.436666666666667
66813,USA,55,1,0.23,0.763333333333333,0.613333333333333,0.613333333333333,0.696666666666667
107064,USA,20,1,0.233333333333333,0.743333333333333,0.773333333333333,0.586666666666667,0.646666666666667
266190,USA,18,1,0.233333333333333,0.766666666666667,0.81,0.42,0.66
207685,USA,20,1,0.24,0.616666666666667,0.683333333333333,0.426666666666667,0.526666666666667
275099,USA,26,1,0.24,0.61,0.666666666666667,0.653333333333333,0.573333333333333
302802,USA,19,2,0.24,0.73,0.71,0.55,0.666666666666667
18219,USA,36,2,0.25,0.543333333333333,0.513333333333333,0.363333333333333,0.693333333333333
64498,USA,47,1,0.25,0.633333333333333,0.536666666666667,0.746666666666667,0.48
156459,USA,21,1,0.25,0.71,0.813333333333333,0.52,0.36
247310,USA,19,1,0.25,0.67,0.556666666666667,0.616666666666667,0.523333333333333
252220,USA,25,1,0.25,0.793333333333333,0.723333333333333,0.693333333333333,0.52
98141,USA,16,2,0.253333333333333,0.796666666666667,0.77,0.77,0.526666666666667
205141,USA,20,1,0.253333333333333,0.733333333333333,0.32,0.486666666666667,0.52
24262,USA,21,2,0.256666666666667,0.563333333333333,0.796666666666667,0.716666666666667,0.586666666666667
42581,USA,27,1,0.256666666666667,0.496666666666667,0.536666666666667,0.65,0.46
84428,USA,30,1,0.256666666666667,0.41,0.723333333333333,0.5,0.8
132028,USA,15,2,0.256666666666667,0.87,0.656666666666667,0.473333333333333,0.46
149341,USA,15,1,0.256666666666667,0.513333333333333,0.7,0.71,0.646666666666667
