case_id,country,age,sex,agreeable_score,extraversion_score,openness_score,conscientiousness_score,neuroticism_score
314000,Australia,38,1,1,0.963333333333333,0.78,0.96,0.2
69903,Australia,40,2,0.966666666666667,0.776666666666667,0.766666666666667,0.976666666666667,0.246666666666667
173353,Australia,44,1,0.953333333333333,0.866666666666667,0.766666666666667,0.97,0.28
290921,Australia,25,2,0.95,0.673333333333333,0.8,0.89,0.656666666666667
116138,Australia,53,2,0.94,0.696666666666667,0.686666666666667,0.87,0.716666666666667
244661,Australia,40,1,0.936666666666667,0.913333333333333,0.836666666666667,0.966666666666667,0.236666666666667
295854,Australia,48,1,0.936666666666667,0.713333333333333,0.626666666666667,0.976666666666667,0.243333333333333
224098,Australia,37,2,0.933333333333333,0.54,0.73,0.76,0.603333333333333
28279,Australia,52,2,0.93,0.68,0.863333333333333,0.746666666666667,0.65
55169,Australia,61,2,0.93,0.736666666666667,0.803333333333333,0.833333333333333,0.46
60267,Australia,18,2,0.93,0.676666666666667,0.74,0.683333333333333,0.59
263999,Australia,52,2,0.93,0.666666666666667,0.846666666666667,0.776666666666667,0.73
285528,Australia,52,2,0.93,0.4,0.776666666666667,0.783333333333333,0.533333333333333
10123,Australia,29,2,0.926666666666667,0.733333333333333,0.84,0.81,0.616666666666667
43344,Australia,22,2,0.926666666666667,0.41,0.706666666666667,0.696666666666667,0.856666666666667
200656,Australia,26,2,0.926666666666667,0.673333333333333,0.736666666666667,0.82,0.51
214396,Australia,35,2,0.926666666666667,0.47,0.896666666666667,0.8,0.723333333333333
97541,Australia,17,2,0.923333333333333,0.703333333333333,0.78,0.79,0.583333333333333
232616,Australia,38,2,0.923333333333333,0.763333333333333,0.93,0.806666666666667,0.383333333333333
298837,Australia,23,2,0.923333333333333,0.703333333333333,0.8,0.773333333333333,0.746666666666667
